|p_url|target|p_type|p_image_url|p_video_url|p_post_text|reactions_type|reactions|p_inner_descrption|p_date
0|https://www.instagram.com/p/ClYrH1rs-SV/|ameasistenciamedica|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316799037_138279025673895_3624134537272599110_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Om59NgEHAT0AX8Fssqv&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3OTMyMDgwODE4MzQyNDE0OQ%3D%3D.2-ccb7-5&oh=00_AfBB2Z7MzvgCM4yX4awGtzCjvDGIa7c9Y5pMbb3IYSH5Uw&oe=63856E52&_nc_sid=30a2ef||['💚 Llega el #blackfriday de AME con tarifas que no puedes dejar pasar.\nAdquiere ya tu plan de salud y recibe:\n🚑 Atención médica 24 Horas\n🚑 Alianzas con especialistas\n🚑 Línea Médica de orientación\ny muchos beneficios más...\n\nBucaramanga (607) 657 7171 Ext. 108\nCúcuta: (607) 577 2323\nSanta Marta (605) 420 9027\n\n#Bucaramanga #Cucuta #SantaMarta']|Me_gusta|16|"[""Photo by ASISTENCIA MEDICA DOMICILIARIA on November 25, 2022. May be an image of 1 person and text that says 'Black Days ၁ ame Asistencia Fram Médica Hoy en ame disfruta un 25% DE DCTO en tu plan de afiliación Ponle TYC* acumulable con otras promociones Po tiempolimitado tiempo VIGILADOSupersalud'.""]"|2022-11-25 13:25:38+00:00
1|https://www.instagram.com/p/ClW8mf3u5My/|ameasistenciamedica|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316793602_841155773637603_2654540758696419709_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=2Hew00j0KeoAX_FZrgc&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3ODgzNDczMTkwMzk4MDMzOA%3D%3D.2-ccb7-5&oh=00_AfAV9gJvX9ti8L_65jhwFmt2x1uaingbIlzloZ7VDHcxLw&oe=63860F20&_nc_sid=30a2ef||['💚 Con AME tienes médico en casa todos los días del año, ya que nuestro equipo de profesionales está a tan solo una llamada de distancia\n\n☎ Llámanos y conoce todos los beneficios de estar afiliado a la tranquilidad\n\n☑ Bucaramanga (607) 657 7171 Ext. 108\n☑ Cúcuta: (607) 577 2323\n☑ Santa Marta (605) 420 9027\n\n#bucaramanga #cucuta #santamarta']|Me_gusta|14|"[""Photo by ASISTENCIA MEDICA DOMICILIARIA on November 24, 2022. May be an image of \u200e1 person and \u200etext that says '\u200eaame ame Asistencia Médica Tener un equipo médico sin salir de casa ناك 可. Posible Con nuestros planes de salud VIGILADOSupersalud\u200e'\u200e\u200e.""]"|2022-11-24 21:19:53+00:00
2|https://www.instagram.com/p/ClTclwoM4eX/|ameasistenciamedica|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316550330_552062453406476_1558782938002932745_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=1HZSloQ5JJ4AX-CeBSU&tn=LgdxYoM2i6ygn41M&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3Nzg0OTUxODc1OTA1MzIwNw%3D%3D.2-ccb7-5&oh=00_AfBMc4FaAXzaTxrH5ia6wNPMrUezTd4eNMSNx9mpiiNHFw&oe=638732D6&_nc_sid=30a2ef||['💚 Un nuevo servicio llegó a formar parte del amplio portafolio de beneficios que ofrecemos a nuestro grupo de afiliados, llámanos y conoce todos los detalles de este servicio:\n\n☎ Agenda llamando (607) 657 7171 Ext. 101\n\n☑ Servicio válido en Bucaramanga*\n\n#Bucaramanga #MedicinaFamiliar']|Me_gusta|18|"[""Photo by ASISTENCIA MEDICA DOMICILIARIA on November 23, 2022. May be an image of 2 people, child and text that says 'ame Asistencia Médica Medicina Familiar Nuevo Servicio Agenda cita con especialista en Médicina Familiar Tan sólo: $30.000 Pesos Con agenda disponible en menos de 48 horas Ilamanos 657 7171 ext 101'.""]"|2022-11-23 12:42:27+00:00
3|https://www.instagram.com/p/ClRNTAyMGfZ/|ameasistenciamedica|image|https://scontent-bog1-1.cdninstagram.com/v/t39.30808-6/315885355_555693709903404_7866940471809574994_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=R6jN7lXq7oMAX8kusMo&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=Mjk3NzIxOTMwMDk4NTc1ODU4OQ%3D%3D.2-ccb7-5&oh=00_AfDyMOBnOxVqGFzbwz8WAJ0bdVue5x7P_BtF8DuVztow7g&oe=63868C89&_nc_sid=30a2ef||['💚 En AME llevamos tranquilidad a las empresas a través de nuestro servicio: Zonas protegidas, en el que cubrimos a empresas y negocios, frente a cualquier tipo de urgencia o emergencia médica. ☎ Llámanos y conoce muchos más beneficios de este servicio\n\n☑ Bucaramanga (607) 657 7171 Ext. 108\n☑ Cúcuta: (607) 577 2323\n☑ Santa Marta (605) 420 9027\n\n#Bucaramanga #Cucuta #SantaMarta']|Me_gusta|11|"[""Photo by ASISTENCIA MEDICA DOMICILIARIA on November 22, 2022. May be an image of \u200e3 people and \u200etext that says '\u200e#ame ame Asistencia Médica Ante una emergencia en el trabajo ان ×× ان नF ٠ Tu empresa puede ser Zona Protegida Desliza >>>\u200e'\u200e\u200e.""]"|2022-11-22 15:50:20+00:00
4|https://www.instagram.com/p/ClOeFd0M2jb/|ameasistenciamedica|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316360129_541211087428765_2242266856259561844_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=2hVjPL_cmZ4AX84u1fX&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3NjQ0ODcyMDc0NTQ5MDY1MQ%3D%3D.2-ccb7-5&oh=00_AfAiBzPi8SyRhie9FdFln9WgqLj4BpEas57Sxd2JouUFKA&oe=638563CA&_nc_sid=30a2ef||['💚 Así de práctico y fácil es recibir una atención médica con AME, llamamos y conoce nuestro servicio de orientación telefónica 📞\n\n☎ Para más información llámanos\n\n☑ Bucaramanga (607) 657 7171 Ext. 108\n☑ Cúcuta: (607) 577 2323\n☑ Santa Marta (605) 420 9027']|Me_gusta|17|"[""Photo by ASISTENCIA MEDICA DOMICILIARIA on November 21, 2022. May be an image of 1 person and text that says 'alame ame Asistencia Médica ¿Necesitas una cita médica, pero no tienes tiempo para asistir? Conoce nuestro servicio de orientación telefónica Estás cómodo 11 12 10 9 Ahorras tiempo 8 7 Cuentas con flexibilidad en horarios 5 6 VIGILADOSupersalud'.""]"|2022-11-21 14:19:19+00:00
5|https://www.instagram.com/p/ClGuj_UDyE1/|ameasistenciamedica|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315765469_849732906365269_7322501711947497558_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=JF3CbbNkANMAX_r4Zyp&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3NDI2OTM4NzIyODI1ODYxMw%3D%3D.2-ccb7-5&oh=00_AfCHDZuUhZbUrOloauGu9j--K6Ow6uUiE4ZcpztQaHvPFg&oe=63872037&_nc_sid=30a2ef|blob:https://www.instagram.com/b6a2cdc6-bfb5-4120-a843-e1ef9076d9a5|['💚 Te contamos todos los detalles de nuestro nuevo servicio de medicina familiar.\nRecuerda que puedes agendar tu cita en el 657 7171 Ext. 101 ☎️ y te atenderemos en menos de 24 horas\n\n#Bucaramanaga #medicinafamiliar']|Me_gusta|36|['']|2022-11-18 14:10:16+00:00
6|https://www.instagram.com/p/ClBtT2ltWB1/|ameasistenciamedica|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315609296_1454966524994615_23642188709407690_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=5bYV0AHYSzYAX9SJvHL&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3Mjg1NjUwNTQxODk5Nzg3Nw%3D%3D.2-ccb7-5&oh=00_AfA9HLEMx5iwNZDL3G_v9blzQa-c_lYa2xeB-l7rrsycWA&oe=6386ACCF&_nc_sid=30a2ef||['💚 En el laboratorio de Ame Asistencia médica 🔬 encuentras toma de exámenes sin salir de casa con resultados rápidos y confiables. Siempre es buen momento para chequear tu estado de salud, por eso en noviembre tenemos un 10% de descuento para que redimir en nuestro laboratorio.\n\nAgenda la toma de exámenes llamando al:\n☎ 657 7171 Ext. 120-121\n\n#Bucaramanaga #laboratorio']|Me_gusta|15|"[""Photo by ASISTENCIA MEDICA DOMICILIARIA on November 16, 2022. May be an image of 1 person and text that says 'arame ame Asistencia Médica Bluck En Noviembre Days recibe un 10% De DCTO en el Laboratorio AME Para que cierres el año monitoreando tu estado de salud desde casa Programa la toma de exámenes en casa: 657 7171 Ext. 120 Aplica TYC* Válido para Bucaramanga 121 VIGILADOSupersalud'.""]"|2022-11-16 15:22:13+00:00
7|https://www.instagram.com/p/Ck_OclEDIHZ/|ameasistenciamedica|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315497423_5916219798399154_4780799670921813194_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=sCZo4zb1jQUAX93LjNl&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MjE1NzgxNTY4MDY5Njc5Mw%3D%3D.2-ccb7-5&oh=00_AfBNif5Dz8zJ0e1-dZchV9ZyM-RtYtgEUDIxUMZXnv33og&oe=6386C689&_nc_sid=30a2ef|blob:https://www.instagram.com/db53d30f-a623-4292-b1cf-36eaf81ea1d5|['Desde hoy podrás contar con un médico especialista en medicina familiar sin salir de casa, ⏭️ En el siguiente video te contamos de que se trata nuestro nuevo servicio.\n\n☎️ Agenda tu cita llamando al 657 7171 Ext. 101\n\n✅ Valor consulta: $30.000\n✅ Agenda disponible\n\n#Bucaramanga #MedicinaFamiliar']|Me_gusta|39|['']|2022-11-15 16:21:00+00:00
8|https://www.instagram.com/p/Ck0jBJcj5TV/|ameasistenciamedica|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315067019_642703700907414_1303854118222455014_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=Mmx1GYCOFw4AX8rAZdV&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2OTE1MjA2NDgzNDIxMzA3Nw%3D%3D.2-ccb7-5&oh=00_AfCtcfbJHDAhWk5Dw7XMSGn1Q4Ba6UVu5BX2U-WhR5vjLw&oe=638719B9&_nc_sid=30a2ef|blob:https://www.instagram.com/03637e09-9d87-4cf0-bbb1-868ff751cd60|['⏳ Inició el conteo regresivo, para que nuestros afiliados puedan tener todos los beneficios de un especialista en Medicina Familiar en la puerta de su casa. 🏠\nDesde este 15 de Noviembre tendremos agenda disponible para programar consultas en casa.\n\nPara conocer más detalles del servicio llama a nuestra línea (607) 657 7171 ext 101\n\n#Bucaramanga #medicinafamiliar']|Me_gusta|71|['']|2022-11-11 12:46:08+00:00
9|https://www.instagram.com/p/Ckx_IMUsbxA/|ameasistenciamedica|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/314846975_672033424638411_444563672882966346_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=si1u95oF-cEAX9ZKjLh&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2ODQzMTI2OTMzMTk3NTIzMg%3D%3D.2-ccb7-5&oh=00_AfBkmmGK8EZ8x-ZsoQIgFZ1qFrjL61e_2SgOeip-gmyDOA&oe=6386451E&_nc_sid=30a2ef||['💚 Pronto tendremos un equipo de médicos especialistas en salud familiar 👨\u200d👩\u200d👧\u200d👦 recuerda que con AME Asistencia médica, cuentas con atenciones médicas los 365 días del año.\n\n#Bucaramanga']|Me_gusta|26|"[""Photo by ASISTENCIA MEDICA DOMICILIARIA on November 10, 2022. May be an image of text that says '¡Falta Poco! Pronto tendremos médicos especializados en la atención de la familia Llega nuevo servicio ame Asistencia Médica A Medicina Familiar ¡Espéralo! VIGILADOSupersalud'.""]"|2022-11-10 12:50:04+00:00
